#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
12,Thu, Nov 24,Denver,L24-21 OT,Bledsoe  232,Jones  55,Witten  82
14,Sun, Dec 11,Kansas City,W31-28,Bledsoe  332,Barber  82,Glenn  138
17,Sun, Jan 1,St. Louis,L20-10,Bledsoe  242,Jones  35,Johnson  97
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 27,Houston,W21-9,Box Score
3,Thu, Sep 1,Jacksonville,W27-20,Box Score
#2006 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 17,Washington,W27-10,Bledsoe  237,Jones  94,Glenn  94
#3,BYE WEEK
6,Sun, Oct 15,Houston,W34-6,Bledsoe  168,Jones  106,Crayton  61
7,Mon, Oct 23,New York,L36-22,Romo  227,Jones  30,Owens  98
11,Sun, Nov 19,Indianapolis,W21-14,Romo  226,Jones  79,Glenn  78
12,Thu, Nov 23,Tampa Bay,W38-10,Romo  306,Barber  83,Owens  107
14,Sun, Dec 10,New Orleans,L42-17,Romo  249,Jones  116,Glenn  150
16,Mon, Dec 25,Philadelphia,L23-7,Romo  142,Romo  42,Witten  50
17,Sun, Dec 31,Detroit,L39-31,Romo  321,Jones  27,Owens  117
#2006 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 26,San Francisco,W17-7,Box Score
3,Thu, Aug 31,Minnesota,T10-10 OT,Box Score
#2007 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 13,New York,L21-17,Romo  201,Barber  129,Witten  81
#2007 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,New York,W45-35,Romo  345,Jones  66,Witten  116
4,Sun, Sep 30,St. Louis,W35-7,Romo  339,Jones  52,Crayton  184
6,Sun, Oct 14,New England,L48-27,Romo  199,Jones  51,Owens  66
7,Sun, Oct 21,Minnesota,W24-14,Romo  277,Barber  96,Owens  103
#8,BYE WEEK
11,Sun, Nov 18,Washington,W28-23,Romo  293,Barber  43,Owens  173
12,Thu, Nov 22,New York,W34-3,Romo  195,Barber  103,Owens  65
13,Thu, Nov 29,Green Bay,W37-27,Romo  309,Barber  81,Owens  156
15,Sun, Dec 16,Philadelphia,L10-6,Romo  214,Barber  32,Witten  113
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Thu, Aug 9,Indianapolis,W23-10,Box Score
1,Sat, Aug 18,Denver,W31-20,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Mon, Sep 15,Philadelphia,W41-37,Romo  312,Barber  63,Witten  110
4,Sun, Sep 28,Washington,L26-24,Romo  300,Barber  26,Witten  90
5,Sun, Oct 5,Cincinnati,W31-22,Romo  176,Jones  96,Witten  79
8,Sun, Oct 26,Tampa Bay,W13-9,Johnson  122,Barber  71,Owens  33
#10,BYE WEEK
12,Sun, Nov 23,San Francisco,W35-22,Romo  341,Barber  59,Owens  213
13,Thu, Nov 27,Seattle,W34-9,Romo  331,Choice  57,Witten  115
15,Sun, Dec 14,New York,W20-8,Romo  244,Choice  91,Choice  52
16,Sat, Dec 20,Baltimore,L33-24,Romo  252,Choice  90,Witten  87
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Fri, Aug 22,Houston,W23-22,Box Score
4,Thu, Aug 28,Minnesota,W16-10,Box Score
#2009 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 9,Philadelphia,W34-14,Romo  244,Jones  148,Austin  82
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 20,New York,L33-31,Romo  127,Barber  124,Witten  33
3,Mon, Sep 28,Carolina,W21-7,Romo  255,Jones  94,Witten  77
#6,BYE WEEK
7,Sun, Oct 25,Atlanta,W37-21,Romo  311,Barber  47,Austin  171
8,Sun, Nov 1,Seattle,W38-17,Romo  256,Barber  53,Austin  61
11,Sun, Nov 22,Washington,W7-6,Romo  158,Barber  99,Austin  47
12,Thu, Nov 26,Oakland,W24-7,Romo  309,Jones  68,Austin  145
14,Sun, Dec 13,San Diego,L20-17,Romo  249,Jones  51,Williams  74
17,Sun, Jan 3,Philadelphia,W24-0,Romo  311,Barber Jones  91,Crayton  99
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 21,Tennessee,W30-10,Box Score
3,Sat, Aug 29,San Francisco,L20-13,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Chicago,L27-20,Romo  374,Barber  31,Austin  142
#4,BYE WEEK
5,Sun, Oct 10,Tennessee,L34-27,Romo  406,Jones  109,Austin  166
7,Mon, Oct 25,New York,L41-35,Kitna  187,Jones  35,Witten  95
8,Sun, Oct 31,Jacksonville,L35-17,Kitna  379,Jones  22,Austin  117
11,Sun, Nov 21,Detroit,W35-19,Kitna  147,Jones  51,Witten  48
12,Thu, Nov 25,New Orleans,L30-27,Kitna  313,Austin  60,Witten  99
14,Sun, Dec 12,Philadelphia,L30-27,Kitna  242,Jones  41,Witten  69
15,Sun, Dec 19,Washington,W33-30,Kitna  305,Jones  70,Witten  140
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 12,Oakland,L17-9,Box Score
4,Thu, Sep 2,Miami,W27-25,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Mon, Sep 26,Washington,W18-16,Romo  255,Jones  115,Bryant  63
4,Sun, Oct 2,Detroit,L34-30,Romo  331,Jones  57,Robinson  116
#5,BYE WEEK
7,Sun, Oct 23,St. Louis,W34-7,Romo  166,Murray  253,Bryant  90
9,Sun, Nov 6,Seattle,W23-13,Romo  279,Murray  139,Bryant  76
10,Sun, Nov 13,Buffalo,W44-7,Romo  270,Murray  135,Bryant  74
12,Thu, Nov 24,Miami,W20-19,Romo  226,Murray  87,Robinson  79
14,Sun, Dec 11,New York,L37-34,Romo  321,Jones  106,Robinson  137
16,Sat, Dec 24,Philadelphia,L20-7,McGee  182,Morris  29,Bryant  62
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 11,Denver,W24-23,Box Score
2,Sun, Aug 21,San Diego,L20-7,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 23,Tampa Bay,W16-10,Romo  283,Murray  38,Austin  107
4,Mon, Oct 1,Chicago,L34-18,Romo  307,Murray  24,Witten  112
#5,BYE WEEK
8,Sun, Oct 28,New York,L29-24,Romo  437,Jones  19,Witten  167
11,Sun, Nov 18,Cleveland,W23-20 OT,Romo  313,Jones  43,Bryant  145
12,Thu, Nov 22,Washington,L38-31,Romo  441,Jones  14,Bryant  145
13,Sun, Dec 2,Philadelphia,W38-33,Romo  303,Murray  83,Witten  108
15,Sun, Dec 16,Pittsburgh,W27-24 OT,Romo  341,Murray  81,Austin  79
16,Sun, Dec 23,New Orleans,L34-31 OT,Romo  416,Murray  40,Bryant  224
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 25,St. Louis,W20-19,Box Score
4,Wed, Aug 29,Miami,W30-13,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,New York,W36-31,Romo  263,Murray  86,Austin  72
3,Sun, Sep 22,St. Louis,W31-7,Romo  210,Murray  175,Witten  67
5,Sun, Oct 6,Denver,L51-48,Romo  506,Murray  43,Williams  151
6,Sun, Oct 13,Washington,W31-16,Romo  170,Murray  29,Beasley  44
9,Sun, Nov 3,Minnesota,W27-23,Romo  337,Murray  31,Witten  102
#11,BYE WEEK
13,Thu, Nov 28,Oakland,W31-24,Romo  225,Dunbar  82,Bryant  61
15,Sun, Dec 15,Green Bay,L37-36,Romo  358,Murray  134,Bryant  153
17,Sun, Dec 29,Philadelphia,L24-22,Orton  358,Murray  51,Witten  135
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sun, Aug 4,Miami,W24-20,Box Score
3,Sat, Aug 24,Cincinnati,W24-18,Box Score
4,Thu, Aug 29,Houston,L24-6,Box Score
